ending1,ending2,labels,startphrase,instruction_column
Tasnya terlihat mahal.,Tasnya terlihat murah.,1,"Dari tas yang dipakainya, dia terlihat seperti pengangguran.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dari tas yang dipakainya, dia terlihat seperti pengangguran., Options: 0) Tasnya terlihat mahal. 1) Tasnya terlihat murah."
Dia naik ke pesawat dengan ragu-ragu.,Dia naik ke pesawat dengan percaya diri.,0,Dia naik ke pesawat seperti orang yang tidak pernah ke luar negeri.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dia naik ke pesawat seperti orang yang tidak pernah ke luar negeri., Options: 0) Dia naik ke pesawat dengan ragu-ragu. 1) Dia naik ke pesawat dengan percaya diri."
Dia naik ke pesawat dengan ragu-ragu.,Dia naik ke pesawat dengan percaya diri.,1,Dia naik ke pesawat seperti penumpang kelas bisnis.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dia naik ke pesawat seperti penumpang kelas bisnis., Options: 0) Dia naik ke pesawat dengan ragu-ragu. 1) Dia naik ke pesawat dengan percaya diri."
Dia memelukku dengan erat.,Dia memelukku dengan enggan.,0,Dia memelukku seakan-akan aku adalah ibunya.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dia memelukku seakan-akan aku adalah ibunya., Options: 0) Dia memelukku dengan erat. 1) Dia memelukku dengan enggan."
Dia memelukku dengan erat.,Dia memelukku dengan enggan.,1,Dia memelukku seakan-akan aku adalah musuh bebuyutannya.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dia memelukku seakan-akan aku adalah musuh bebuyutannya., Options: 0) Dia memelukku dengan erat. 1) Dia memelukku dengan enggan."
Dia mempresentasikan tugasnya dengan yakin.,Dia mempresentasikan tugasnya dengan gelisah.,0,Dia mempresentasikan tugasnya seperti pemenang lomba pidato internasional.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dia mempresentasikan tugasnya seperti pemenang lomba pidato internasional., Options: 0) Dia mempresentasikan tugasnya dengan yakin. 1) Dia mempresentasikan tugasnya dengan gelisah."
Dia mempresentasikan tugasnya dengan yakin.,Dia mempresentasikan tugasnya dengan gelisah.,1,Dia mempresentasikan tugasnya seperti orang yang sedang menahan pipis.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dia mempresentasikan tugasnya seperti orang yang sedang menahan pipis., Options: 0) Dia mempresentasikan tugasnya dengan yakin. 1) Dia mempresentasikan tugasnya dengan gelisah."
Hotel ini terasa sepi.,Hotel ini terasa ramai.,0,Hotel ini terasa seperti di tengah samudera.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Hotel ini terasa seperti di tengah samudera., Options: 0) Hotel ini terasa sepi. 1) Hotel ini terasa ramai."
Hotel ini terasa sepi.,Hotel ini terasa ramai.,1,Hotel ini terasa seperti stadion bola saat pertandingan.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Hotel ini terasa seperti stadion bola saat pertandingan., Options: 0) Hotel ini terasa sepi. 1) Hotel ini terasa ramai."
Kamu tidur dengan sangat nyenyak.,Kamu tidur dengan tidak nyenyak.,0,Kamu tidur seperti beruang yang sedang hibernasi.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kamu tidur seperti beruang yang sedang hibernasi., Options: 0) Kamu tidur dengan sangat nyenyak. 1) Kamu tidur dengan tidak nyenyak."
Kamu tidur dengan sangat nyenyak.,Kamu tidur dengan tidak nyenyak.,1,Kamu tidur seperti ibu menyusui yang bayinya rewel.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kamu tidur seperti ibu menyusui yang bayinya rewel., Options: 0) Kamu tidur dengan sangat nyenyak. 1) Kamu tidur dengan tidak nyenyak."
Hari ini aku merasa bahagia.,Hari ini aku merasa sedih.,0,Hari ini aku merasa seperti anak kecil di toko mainan.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Hari ini aku merasa seperti anak kecil di toko mainan., Options: 0) Hari ini aku merasa bahagia. 1) Hari ini aku merasa sedih."
Hari ini aku merasa bahagia.,Hari ini aku merasa sedih.,1,Hari ini aku merasa seperti anak kecil yang es krimnya tersenggol dan jatuh.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Hari ini aku merasa seperti anak kecil yang es krimnya tersenggol dan jatuh., Options: 0) Hari ini aku merasa bahagia. 1) Hari ini aku merasa sedih."
Mobilnya cepat.,Mobilnya lambat.,0,Mobil itu melaju seperti peluru.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Mobil itu melaju seperti peluru., Options: 0) Mobilnya cepat. 1) Mobilnya lambat."
Mobilnya cepat.,Mobilnya lambat.,1,Mobil itu melaju seperti keong.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Mobil itu melaju seperti keong., Options: 0) Mobilnya cepat. 1) Mobilnya lambat."
Budi sangat pintar.,Budi sangat bodoh.,0,"Walaupun berusia 15 tahun, Budi berpikir layaknya seorang ilmuwan.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Walaupun berusia 15 tahun, Budi berpikir layaknya seorang ilmuwan., Options: 0) Budi sangat pintar. 1) Budi sangat bodoh."
Budi sangat pintar.,Budi sangat bodoh.,1,"Walaupun berusia 15 tahun, Budi berpikir layaknya balita.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Walaupun berusia 15 tahun, Budi berpikir layaknya balita., Options: 0) Budi sangat pintar. 1) Budi sangat bodoh."
Laptopnya mahal.,Laptopnya murah.,0,Laptop baru Ani harganya seperti berlian.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Laptop baru Ani harganya seperti berlian., Options: 0) Laptopnya mahal. 1) Laptopnya murah."
Laptopnya mahal.,Laptopnya murah.,1,Laptop baru Ani harganya seperti rongsokan.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Laptop baru Ani harganya seperti rongsokan., Options: 0) Laptopnya mahal. 1) Laptopnya murah."
Rasa jajanan ini tidak enak.,Rasa jajanan ini sangat lezat.,0,Jajanan di kantin ini rasanya seperti kotoran burung.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Jajanan di kantin ini rasanya seperti kotoran burung., Options: 0) Rasa jajanan ini tidak enak. 1) Rasa jajanan ini sangat lezat."
Rasa jajanan ini tidak enak.,Rasa jajanan ini sangat lezat.,1,Jajanan di kantin ini rasanya seperti sentuhan malaikat.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Jajanan di kantin ini rasanya seperti sentuhan malaikat., Options: 0) Rasa jajanan ini tidak enak. 1) Rasa jajanan ini sangat lezat."
Ia berpenampilan kumal dan kusam.,Ia berpenampilan cantik dan elok.,0,Penampilannya bagaikan kucing masuk comberan.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Penampilannya bagaikan kucing masuk comberan., Options: 0) Ia berpenampilan kumal dan kusam. 1) Ia berpenampilan cantik dan elok."
